Code,Name,Symptoms,Treatments
110,Mastoiditis,"Ear pain (particularly behind the ear), swelling and redness of the ear or the area behind the ear, fever, headache, hearing loss or impaired hearing, drainage of fluid or pus from the ear, earache, irritability (in infants and young children), tenderness or pain when touching the area, mastoid bone protrusion or swelling","Antibiotics (oral or intravenous) to treat the underlying bacterial infection, pain relievers (such as acetaminophen or ibuprofen) for pain and fever, ear drops (if there is drainage from the ear), surgical intervention (in severe or chronic cases), such as mastoidectomy (removal of infected mastoid bone cells) or tympanostomy tube placement (to relieve pressure and drain fluid from the middle ear), supportive care (rest, hydration, warm compresses)"
111,Lung Contusion,"Chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)","Supportive care (including supplemental oxygen, pain management, and respiratory support), monitoring in a hospital setting (to assess lung function and overall stability), treatment of associated injuries (such as rib fractures), management of complications (such as pneumonia or respiratory failure), prevention of further complications (such as deep vein thrombosis or pressure ulcers), respiratory therapy (including breathing exercises and airway clearance techniques), possible use of mechanical ventilation in severe cases"
112,Hypertrophic Obstructive Cardiomyopathy (HOCM),"Shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs","Medications to relieve symptoms and improve heart function (such as beta-blockers, calcium channel blockers, and disopyramide), medications to prevent abnormal heart rhythms (such as anti-arrhythmic drugs), medications to reduce blood clotting (such as aspirin or anticoagulants), implantable cardioverter-defibrillator (ICD) placement (to monitor and correct abnormal heart rhythms), septal myectomy (surgical removal of a portion of the thickened heart muscle), alcohol septal ablation (destruction of excess heart muscle with alcohol injection), lifestyle modifications (such as avoiding strenuous activities, managing stress, and maintaining a healthy weight), regular follow-up visits with a cardiologist"
113,Pulmonary Eosinophilia,"Cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum","Identification and treatment of underlying causes (such as parasitic infections, drug reactions, or allergic reactions), corticosteroids (such as prednisone) to reduce inflammation, bronchodilators (such as inhalers) to relieve bronchospasm and improve airflow, antiparasitic medications (if parasitic infection is identified), immunosuppressive medications (in severe cases), avoidance of triggers or allergens (if identified), symptomatic treatment for associated symptoms (such as fever or cough), regular monitoring and follow-up with a healthcare professional"
114,Corneal Disorder,"Blurred or hazy vision, eye pain or discomfort, redness or irritation of the eye, excessive tearing, sensitivity to light (photophobia), foreign body sensation, dryness or excessive tearing, corneal abrasions or ulcers, distorted or irregular corneal shape, vision loss","Treatment depends on the specific corneal disorder and may include: artificial tears or lubricating eye drops, antibiotic or antifungal eye drops (if infection is present), corticosteroid eye drops or ointments (to reduce inflammation), bandage contact lenses, therapeutic contact lenses, corneal transplantation (in severe cases), refractive surgeries (such as LASIK or PRK) to correct vision, protective eyewear or sunglasses, avoiding irritants or triggers, regular eye examinations and monitoring, lifestyle modifications (such as proper eye hygiene and avoiding eye strain)"
115,Foreign Body in the Gastrointestinal Tract,"Abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract","Observation and monitoring (for small, smooth, and non-sharp objects that are likely to pass through the digestive tract without complications), endoscopic removal (using a flexible tube with a camera to locate and remove the foreign body), surgical intervention (in cases of severe complications, large or sharp objects, or failed endoscopic removal attempts), supportive care (such as intravenous fluids, pain management, and antibiotics if infection is present), imaging studies (such as X-rays or CT scans) to evaluate the location and extent of the foreign body, consultation with a gastroenterologist or surgeon for appropriate management"
116,Endophthalmitis,"Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever","Immediate medical attention is required. Treatment may include: intravenous antibiotics or antifungal medications, intravitreal injections (injections of antibiotics or antifungal agents directly into the eye), vitrectomy (surgical removal of the gel-like fluid within the eye), topical or oral medications (to manage pain, inflammation, or infection), frequent follow-up visits with an ophthalmologist, supportive care (such as warm compresses or lubricating eye drops)"
117,Achalasia,Difficulty swallowing,"Balloon dilation, surgery, medication"
118,Conductive Hearing Loss,"Reduced hearing sensitivity, muffled or blocked sound","Medications, surgical intervention, hearing aids"
119,Abdominal Hernia,"Visible bulge or swelling, discomfort or pain","Watchful waiting, hernia truss, surgical repair, lifestyle changes"
120,Marijuana Abuse,"Impaired memory and cognition, altered judgment, anxiety","Behavioral therapy, counseling, support groups, medication, detoxification"
121,Cryptococcosis,"Headache, fever, fatigue, cough, meningitis, pneumonia","Antifungal medication (e.g., Amphotericin B, Fluconazole), supportive care"
122,Obesity,"Excessive body weight, increased risk of chronic conditions","Antifungal medication eg  Amphotericin B, Fluconazole, supportive care"
123,Indigestion,"Abdominal pain, bloating, heartburn, nausea, acidic taste","Lifestyle changes (e.g., dietary modifications, stress reduction), over-the-counter antacids, medication, therapy"
124,Bursitis,"Joint pain, swelling, tenderness, limited range of motion","Rest, ice, compression, elevation (RICE therapy), pain relievers, physical therapy, steroid injections"
125,Esophageal Cancer,"Difficulty swallowing, unintentional weight loss, chest pain, hoarseness","Surgery, chemotherapy, radiation therapy, targeted therapy, immunotherapy, palliative care, clinical trials"
126,Pulmonary Congestion,"Shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness","Diuretics, medications to manage underlying conditions (e.g., heart failure), oxygen therapy, lifestyle changes"
127,Juvenile Rheumatoid Arthritis,"Joint pain, swelling, stiffness, limited range of motion, fever, rash","Medications (NSAIDs, DMARDs), physical therapy, occupational therapy, exercise, assistive devices"
128,Actinic Keratosis,"Rough, scaly patches on the skin, usually in sun-exposed areas","Topical medications (e.g., fluorouracil, imiquimod, diclofenac), cryotherapy, curettag"
129,Acute Otitis Media,"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear","Antibiotics, pain relievers (e.g., acetaminophen, ibuprofen), warm compresses, ear drops, tympanostomy tubes (in some cases)"
130,Astigmatism,"Blurred or distorted vision, eye strain, headaches,uneven curvature of cornea","Eyeglasses, contact lenses, refractive surgery (LASIK, PRK), orthokeratology, toric intraocular lenses"
131,Tuberous Sclerosis,"Benign tumors in various organs, seizures, developmental delays, skin abnormalities","Medications (anti-seizure, behavioral, etc.), surgery (for tumor removal), therapy (physical, occupational, speech), educational interventions, support services, genetic counseling, monitoring of organ involvement"
